Title,Description,Category,PriorityScore
Smoke reported at junction,smoke at junction minor issue observed,Environment,0.238
Road crack reported on highway,road crack on highway low impact problem,Roads & Infra,0.188
Accident reported on highway,accident on highway no major inconvenience,Traffic & Transport,0.173
Signboard reported at bus stop,signboard at bus stop not urgent,Civic Services,0.377
Signboard reported at hospital,signboard at hospital can be fixed later,Civic Services,0.332
Burning waste reported in public park,burning waste in public park can be fixed later,Environment,0.346
Vehicle jam reported near office area,vehicle jam near office area routine maintenance needed,Traffic & Transport,0.4
Playground equipment reported on highway,playground equipment on highway routine maintenance needed,Public Spaces,0.245
Gas leak reported in public park,gas leak in public park no major inconvenience,Public Safety,0.237
Building collapse reported at junction,building collapse at junction low impact problem,Public Safety,0.172
Air pollution reported at bus stop,air pollution at bus stop minor issue observed,Environment,0.195
Public park reported at bus stop,public park at bus stop low impact problem,Public Spaces,0.338
Flickering light reported near school,flickering light near school not urgent,Street Lighting,0.251
Medical waste reported at hospital,medical waste at hospital no major inconvenience,Healthcare,0.13
Park bench reported on main road,park bench on main road no major inconvenience,Public Spaces,0.361
Streetlight reported on highway,streetlight on highway can be fixed later,Street Lighting,0.202
Smoke reported near market,smoke near market low impact problem,Environment,0.358
Burning waste reported on highway,burning waste on highway routine maintenance needed,Environment,0.111
Road crack reported in residential area,road crack in residential area not urgent,Roads & Infra,0.324
Smoke reported at hospital,smoke at hospital no major inconvenience,Environment,0.15
Traffic congestion reported near school,traffic congestion near school can be fixed later,Traffic & Transport,0.339
Vehicle jam reported near market,vehicle jam near market no major inconvenience,Traffic & Transport,0.144
Municipal office issue reported near office area,municipal office issue near office area low impact problem,Civic Services,0.338
Lamp post reported at hospital,lamp post at hospital routine maintenance needed,Street Lighting,0.361
Ambulance delay reported on highway,ambulance delay on highway routine maintenance needed,Healthcare,0.143
Footpath reported on highway,footpath on highway can be fixed later,Public Spaces,0.3
Footpath reported in public park,footpath in public park not urgent,Public Spaces,0.122
Gas leak reported in residential area,gas leak in residential area low impact problem,Public Safety,0.389
Accident reported in residential area,accident in residential area not urgent,Traffic & Transport,0.4
Park bench reported at junction,park bench at junction no major inconvenience,Public Spaces,0.272
Medical waste reported in residential area,medical waste in residential area minor issue observed,Healthcare,0.393
Burning waste reported near school,burning waste near school routine maintenance needed,Environment,0.36
Litter reported on highway,litter on highway can be fixed later,Waste & Sanitation,0.333
Sewage overflow reported near market,sewage overflow near market not urgent,Water & Drainage,0.291
Medical waste reported on main road,medical waste on main road low impact problem,Healthcare,0.129
Waste accumulation reported on highway,waste accumulation on highway minor issue observed,Waste & Sanitation,0.274
Streetlight reported in residential area,streetlight in residential area can be fixed later,Street Lighting,0.324
Lamp post reported on main road,lamp post on main road routine maintenance needed,Street Lighting,0.363
Gas leak reported in public park,gas leak in public park can be fixed later,Public Safety,0.349
Accident reported in residential area,accident in residential area low impact problem,Traffic & Transport,0.361
Broken pavement reported at hospital,broken pavement at hospital not urgent,Roads & Infra,0.326
Waterlogging reported in public park,waterlogging in public park can be fixed later,Water & Drainage,0.127
Smoke reported in residential area,smoke in residential area routine maintenance needed,Environment,0.137
Explosion risk reported in residential area,explosion risk in residential area routine maintenance needed,Public Safety,0.214
Electric wire reported at junction,electric wire at junction no major inconvenience,Public Safety,0.108
Street sign reported near office area,street sign near office area not urgent,Civic Services,0.294
Footpath reported at bus stop,footpath at bus stop minor issue observed,Public Spaces,0.142
Waste accumulation reported on highway,waste accumulation on highway minor issue observed,Waste & Sanitation,0.129
Signboard reported at bus stop,signboard at bus stop no major inconvenience,Civic Services,0.211
Municipal office issue reported near office area,municipal office issue near office area low impact problem,Civic Services,0.318
Smoke reported on highway,smoke on highway routine maintenance needed,Environment,0.222
Traffic congestion reported near market,traffic congestion near market not urgent,Traffic & Transport,0.233
Drain overflow reported at hospital,drain overflow at hospital low impact problem,Water & Drainage,0.21
Electric wire reported at bus stop,electric wire at bus stop can be fixed later,Public Safety,0.157
Broken pavement reported at hospital,broken pavement at hospital low impact problem,Roads & Infra,0.164
Hospital equipment reported near school,hospital equipment near school can be fixed later,Healthcare,0.173
Dark street reported at junction,dark street at junction minor issue observed,Street Lighting,0.349
Signboard reported near office area,signboard near office area not urgent,Civic Services,0.344
Drain overflow reported on main road,drain overflow on main road routine maintenance needed,Water & Drainage,0.101
Lamp post reported in public park,lamp post in public park can be fixed later,Street Lighting,0.34
Pothole reported on main road,pothole on main road minor issue observed,Roads & Infra,0.207
Sewage overflow reported near market,sewage overflow near market minor issue observed,Water & Drainage,0.152
Overflowing bin reported at bus stop,overflowing bin at bus stop routine maintenance needed,Waste & Sanitation,0.134
Broken pavement reported on highway,broken pavement on highway can be fixed later,Roads & Infra,0.254
Broken pavement reported in public park,broken pavement in public park not urgent,Roads & Infra,0.384
Litter reported in residential area,litter in residential area no major inconvenience,Waste & Sanitation,0.293
Garbage pile reported on highway,garbage pile on highway no major inconvenience,Waste & Sanitation,0.228
Broken pavement reported on highway,broken pavement on highway minor issue observed,Roads & Infra,0.37
Gas leak reported on main road,gas leak on main road minor issue observed,Public Safety,0.138
Health hazard reported in public park,health hazard in public park low impact problem,Healthcare,0.198
Health hazard reported in residential area,health hazard in residential area no major inconvenience,Healthcare,0.252
Smoke reported at hospital,smoke at hospital low impact problem,Environment,0.295
Signboard reported at bus stop,signboard at bus stop no major inconvenience,Civic Services,0.366
Burning waste reported on highway,burning waste on highway no major inconvenience,Environment,0.225
Damaged road reported at bus stop,damaged road at bus stop can be fixed later,Roads & Infra,0.3
Power line reported on highway,power line on highway minor issue observed,Public Safety,0.127
Pothole reported at bus stop,pothole at bus stop minor issue observed,Roads & Infra,0.323
Building collapse reported on main road,building collapse on main road routine maintenance needed,Public Safety,0.118
Facility damage reported near market,facility damage near market low impact problem,Civic Services,0.137
Building collapse reported at bus stop,building collapse at bus stop low impact problem,Public Safety,0.115
Collision reported in residential area,collision in residential area can be fixed later,Traffic & Transport,0.131
Signboard reported on main road,signboard on main road low impact problem,Civic Services,0.245
Damaged road reported in public park,damaged road in public park can be fixed later,Roads & Infra,0.134
Collision reported at junction,collision at junction no major inconvenience,Traffic & Transport,0.354
Health hazard reported in public park,health hazard in public park minor issue observed,Healthcare,0.283
Traffic congestion reported on main road,traffic congestion on main road can be fixed later,Traffic & Transport,0.311
Vehicle jam reported near market,vehicle jam near market minor issue observed,Traffic & Transport,0.154
Dark street reported at bus stop,dark street at bus stop minor issue observed,Street Lighting,0.143
Garbage pile reported in public park,garbage pile in public park not urgent,Waste & Sanitation,0.213
Footpath reported on main road,footpath on main road can be fixed later,Public Spaces,0.193
Building collapse reported near office area,building collapse near office area routine maintenance needed,Public Safety,0.125
Overflowing bin reported on main road,overflowing bin on main road routine maintenance needed,Waste & Sanitation,0.115
Damaged road reported on highway,damaged road on highway low impact problem,Roads & Infra,0.227
Clinic issue reported at bus stop,clinic issue at bus stop can be fixed later,Healthcare,0.165
Public toilet reported near market,public toilet near market no major inconvenience,Civic Services,0.133
Clinic issue reported in public park,clinic issue in public park low impact problem,Healthcare,0.193
Waterlogging reported near office area,waterlogging near office area minor issue observed,Water & Drainage,0.102
Blocked road reported on main road,blocked road on main road can be fixed later,Traffic & Transport,0.187
Pothole reported on highway,pothole on highway low impact problem,Roads & Infra,0.229
Flickering light reported in public park,flickering light in public park low impact problem,Street Lighting,0.169
Street sign reported at hospital,street sign at hospital no major inconvenience,Civic Services,0.359
Trash heap reported near school,trash heap near school no major inconvenience,Waste & Sanitation,0.376
Gas leak reported at bus stop,gas leak at bus stop routine maintenance needed,Public Safety,0.221
Power line reported near office area,power line near office area no major inconvenience,Public Safety,0.35
Electric wire reported at bus stop,electric wire at bus stop minor issue observed,Public Safety,0.173
Clinic issue reported in public park,clinic issue in public park minor issue observed,Healthcare,0.219
Vehicle jam reported at junction,vehicle jam at junction can be fixed later,Traffic & Transport,0.334
Sinkhole reported at hospital,sinkhole at hospital routine maintenance needed,Roads & Infra,0.253
Electric pole reported on main road,electric pole on main road not urgent,Public Safety,0.131
Blocked road reported on main road,blocked road on main road routine maintenance needed,Traffic & Transport,0.146
Road crack reported on highway,road crack on highway no major inconvenience,Roads & Infra,0.326
Clinic issue reported near office area,clinic issue near office area low impact problem,Healthcare,0.291
Medical waste reported near market,medical waste near market not urgent,Healthcare,0.232
Public park reported in residential area,public park in residential area can be fixed later,Public Spaces,0.277
Gas leak reported at hospital,gas leak at hospital can be fixed later,Public Safety,0.239
Garbage pile reported near market,garbage pile near market can be fixed later,Waste & Sanitation,0.123
Sinkhole reported near office area,sinkhole near office area routine maintenance needed,Roads & Infra,0.215
Health hazard reported near school,health hazard near school no major inconvenience,Healthcare,0.373
Ambulance delay reported near market,ambulance delay near market routine maintenance needed,Healthcare,0.243
Streetlight reported on highway,streetlight on highway minor issue observed,Street Lighting,0.343
Explosion risk reported at hospital,explosion risk at hospital routine maintenance needed,Public Safety,0.294
Overflowing bin reported on highway,overflowing bin on highway no major inconvenience,Waste & Sanitation,0.257
Ambulance delay reported near market,ambulance delay near market can be fixed later,Healthcare,0.375
Dust reported near market,dust near market low impact problem,Environment,0.279
Electric wire reported near market,electric wire near market minor issue observed,Public Safety,0.267
Burning waste reported in residential area,burning waste in residential area low impact problem,Environment,0.355
Ambulance delay reported near market,ambulance delay near market minor issue observed,Healthcare,0.275
Lighting system reported in residential area,lighting system in residential area low impact problem,Street Lighting,0.31
Air pollution reported near office area,air pollution near office area low impact problem,Environment,0.381
Collision reported at bus stop,collision at bus stop low impact problem,Traffic & Transport,0.337
Dark street reported at hospital,dark street at hospital low impact problem,Street Lighting,0.301
Street sign reported near school,street sign near school can be fixed later,Civic Services,0.193
Drain overflow reported on highway,drain overflow on highway not urgent,Water & Drainage,0.168
Lamp post reported at hospital,lamp post at hospital can be fixed later,Street Lighting,0.353
Sinkhole reported in public park,sinkhole in public park low impact problem,Roads & Infra,0.365
Waste accumulation reported near office area,waste accumulation near office area not urgent,Waste & Sanitation,0.279
Lamp post reported on main road,lamp post on main road low impact problem,Street Lighting,0.331
Flickering light reported near school,flickering light near school no major inconvenience,Street Lighting,0.209
Waterlogging reported near office area,waterlogging near office area can be fixed later,Water & Drainage,0.326
Playground equipment reported in public park,playground equipment in public park not urgent,Public Spaces,0.193
Playground equipment reported near market,playground equipment near market low impact problem,Public Spaces,0.384
Public park reported in residential area,public park in residential area no major inconvenience,Public Spaces,0.251
Air pollution reported at junction,air pollution at junction routine maintenance needed,Environment,0.142
Traffic congestion reported on highway,traffic congestion on highway can be fixed later,Traffic & Transport,0.266
Sinkhole reported at hospital,sinkhole at hospital can be fixed later,Roads & Infra,0.125
Lighting system reported on highway,lighting system on highway routine maintenance needed,Street Lighting,0.144
Smoke reported at junction,smoke at junction no major inconvenience,Environment,0.365
Trash heap reported near school,trash heap near school no major inconvenience,Waste & Sanitation,0.251
Waterlogging reported at hospital,waterlogging at hospital can be fixed later,Water & Drainage,0.167
Electric wire reported near market,electric wire near market not urgent,Public Safety,0.141
Accident reported on main road,accident on main road low impact problem,Traffic & Transport,0.241
Hospital equipment reported at hospital,hospital equipment at hospital minor issue observed,Healthcare,0.177
Dark street reported near office area,dark street near office area routine maintenance needed,Street Lighting,0.227
Blocked road reported in residential area,blocked road in residential area minor issue observed,Traffic & Transport,0.114
Chemical spill reported on highway,chemical spill on highway minor issue observed,Environment,0.133
Bus stop reported in public park,bus stop in public park minor issue observed,Public Spaces,0.29
Ambulance delay reported on main road,ambulance delay on main road can be fixed later,Healthcare,0.229
Medical waste reported at junction,medical waste at junction routine maintenance needed,Healthcare,0.225
Sinkhole reported near market,sinkhole near market minor issue observed,Roads & Infra,0.386
Facility damage reported in public park,facility damage in public park routine maintenance needed,Civic Services,0.106
Park bench reported at bus stop,park bench at bus stop can be fixed later,Public Spaces,0.176
Waste accumulation reported at hospital,waste accumulation at hospital can be fixed later,Waste & Sanitation,0.172
Sinkhole reported near market,sinkhole near market not urgent,Roads & Infra,0.113
Street sign reported on main road,street sign on main road low impact problem,Civic Services,0.239
Playground equipment reported on main road,playground equipment on main road minor issue observed,Public Spaces,0.315
Park bench reported in residential area,park bench in residential area not urgent,Public Spaces,0.113
Water leakage reported near market,water leakage near market can be fixed later,Water & Drainage,0.255
Municipal office issue reported in residential area,municipal office issue in residential area minor issue observed,Civic Services,0.326
Drain overflow reported near market,drain overflow near market minor issue observed,Water & Drainage,0.36
Electric pole reported at hospital,electric pole at hospital can be fixed later,Public Safety,0.231
Dust reported at bus stop,dust at bus stop can be fixed later,Environment,0.392
Public park reported near market,public park near market routine maintenance needed,Public Spaces,0.18
Broken pavement reported at hospital,broken pavement at hospital no major inconvenience,Roads & Infra,0.281
Dark street reported in residential area,dark street in residential area can be fixed later,Street Lighting,0.131
Explosion risk reported in residential area,explosion risk in residential area can be fixed later,Public Safety,0.234
Air pollution reported on highway,air pollution on highway can be fixed later,Environment,0.234
Gas leak reported at bus stop,gas leak at bus stop can be fixed later,Public Safety,0.292
Garbage pile reported at bus stop,garbage pile at bus stop can be fixed later,Waste & Sanitation,0.254
Streetlight reported on main road,streetlight on main road routine maintenance needed,Street Lighting,0.303
Park bench reported on main road,park bench on main road minor issue observed,Public Spaces,0.171
Electric pole reported at bus stop,electric pole at bus stop routine maintenance needed,Public Safety,0.11
Flickering light reported near market,flickering light near market can be fixed later,Street Lighting,0.233
Sinkhole reported on main road,sinkhole on main road routine maintenance needed,Roads & Infra,0.21
Explosion risk reported in residential area,explosion risk in residential area not urgent,Public Safety,0.388
Overflowing bin reported on highway,overflowing bin on highway routine maintenance needed,Waste & Sanitation,0.216
Public toilet reported in residential area,public toilet in residential area can be fixed later,Civic Services,0.311
Sewage overflow reported in residential area,sewage overflow in residential area low impact problem,Water & Drainage,0.375
Playground equipment reported at hospital,playground equipment at hospital not urgent,Public Spaces,0.356
